Review Title,Rating,Sentiment
As fun and realistic as a show about superheroes can be!,10,Positive
It's a HELL OF A SHOW !!,10,Positive
Promising,8,Positive
We need more of these,10,Positive
Invincible is great,10,Positive
Invincible is here and it is good,7,Positive
Season 1 will never be topped by this show,5,Neutral
Very good show,10,Positive
"Superhero's are ""human"" too...",10,Positive
series review,10,Positive
Unexpected!!,10,Positive
Masterpiece,10,Positive
Best Superhero Comic Series,10,Positive
Not Marvel or DC - Crazy original!,8,Positive
"People need to calm down, a 8.9 average for a show with few new ideas?",8,Positive
Counfused,6,Neutral
"Season 1 is great, Season 2 is dreadful",2,Negative
Wow,10,Positive
Great show,10,Positive
Peak fiction,10,Positive
Peak,10,Positive
Perfect in every way.,10,Positive
Absolute Cinema.,10,Positive
Absolute cinema,10,Positive
ABSOLUT CINEMA,10,Positive
What the Eff is going on with season structure!,6,Neutral
Boring and childish,2,Negative
age rating for kids,10,Positive
Forever in my heart,10,Positive
Peak,9,Positive
Easy 10/10,10,Positive
Great,9,Positive
Great,10,Positive
Peak fiction,10,Positive
The greatest animation show I've had the pleasure of watching,10,Positive
generic superhero show with uninteresting characters,6,Neutral
From a promising start to a cash grab,5,Neutral
The Best Superhero Show Ever Made,10,Positive
Best current superhero show,10,Positive
A great adaptation,9,Positive
A bloody amazing superhero animated show!,10,Positive
"A Superhero Show Like No Other - A Must-Watch!""",10,Positive
Dark as helll,10,Positive
Fantastic stuff am enjoying it 💯,9,Positive
"Shallow characters, romance and plot. Relies too heavily in shocking people with gore.",6,Neutral
So boring,3,Negative
The best super hero show of this decade,10,Positive
"Bloody, well paced, action packed AWESOMENESS!!!!",9,Positive
Dramatically exceeds expectations,9,Positive
Show took me to comics,10,Positive
DIFFERENT FROM EVERYTHING I'VE SEEN!!!,10,Positive
Surprisingly Great!,10,Positive
Great Show,10,Positive
A refreshing superhero show !!,10,Positive
Wow!,7,Positive
Zzzzzzzzzzzzzz,2,Negative
One of the best shows I've watched in a while,10,Positive
Peak,10,Positive
Amazing.,10,Positive
Brilliant. Absolutely Incredible,10,Positive
One word,10,Positive
You Feel It ALL,10,Positive
Amazing,9,Positive
"""You Are Far Better At Flying Than You Should Be.""",10,Positive
I lowered my rating to soap opera level,6,Neutral
Doesn't feel original and is overhyped.,2,Negative
Amazing,10,Positive
Invincible Screenplay,10,Positive
About the Invincible,10,Positive
I felt like I owed this to the show,10,Positive
9.5,10,Positive
Amazing Show with unique plot and characters,10,Positive
Incredible,10,Positive
If allowed would hv givn more than 10,10,Positive
Was surprised how good it was,7,Positive
It's alright.,5,Neutral
"Makes ""The Boys"" look like child's play",9,Positive
The best thing on Prime Video,9,Positive
Greatest pilot in streaming history?,10,Positive
Surprisingly Complex,10,Positive
Already one of the best superhero cartoons...,9,Positive
BRUTAL in the best way,9,Positive
"For this show to be this good, the crew must have to be...",9,Positive
"Like comics, anime and adult swim finally agreed to show hollywood how it's done",9,Positive
Completely Overrated but Invincible and Omni-Man's arc is exceptional.,7,Positive
Coming of Age and an Origin Story of a Hero.,9,Positive
"Wow, can't believe this masterpiece made it to the adult animation!",9,Positive
Honest Girlfriend Review,8,Positive
Definitely the best animated series i have ever seen,10,Positive
Bruh,9,Positive
The most violent serial animation,10,Positive
High hopes for the later seasons,8,Positive
It's rare to see a show this good,10,Positive
Not sure what the hype is about its not very good.,6,Neutral
A rather underwhelming first season unfortunately.,5,Neutral
Invincible,10,Positive
"Season 2, Wow!",10,Positive
Absolutely unexpected.,9,Positive
Superhero Genre - Reinvented,10,Positive
I think it's awesome,9,Positive
Good look on comics!,10,Positive
Loving this,10,Positive
SO SO GOOD,10,Positive
"People absolutely love this, I legitimately wish I did too.",6,Neutral
probably ruined,2,Negative
Irreverence downplays the depth,8,Positive
Bad Ass!!!!,10,Positive
Excellent narrative,10,Positive
A perfect work of art !,10,Positive
Is that you Grog?,8,Positive
A show that embraces comic book tropes,9,Positive
Adult animation done right.,10,Positive
GREAT VISION!!!,10,Positive
Loved Season 1 but 2 did not hit for me.,7,Positive
Predictable and a little Hipster,5,Neutral
Invincible relief!,10,Positive
Fantastic,10,Positive
Incredible.... Just wait for one of the greatest stories ever...,10,Positive
Superior in many ways,9,Positive
Nailed it!!!,10,Positive
Bloody Brilliant,10,Positive
Top notch!,10,Positive
11/10 Favorite Comic-Book Series Ever,10,Positive
"I like it, but ...",7,Positive
A teen woke preaching with some high moments,5,Neutral
I am Invincible,10,Positive
George RR Martin's Justice League!!!,10,Positive
Spectacular,10,Positive
A 9 if you haven't read the comics an 8 if you have,8,Positive
IT WAS A MASTER PEICE,10,Positive
The best superhero show I've ever watched,10,Positive
Very dark and fun,10,Positive
Invincible,10,Positive
I hate invincible,7,Positive
Strangely non-engaging,4,Neutral
Super good,10,Positive
Incredible show,8,Positive
How to do superheroes right!,8,Positive
What an incredible series,10,Positive
Robert Kurkman does it again,10,Positive
(9) Dope!,9,Positive
Invincible (In My Opinion),10,Positive
Animated Masterpiece,10,Positive
S2 is lacking in the first 3 episodes. S1 was good,7,Positive
Fine I guess,2,Negative
Great show,10,Positive
"An incredible first season, a weak second, and a third on par with the first.",9,Positive
One of the most unique superhero stories,10,Positive
Would have been higher if not all the drama,8,Positive
Peak fiction,10,Positive
Great for kids!,9,Positive
Best comic to animation adaptations ever,9,Positive
What to say,6,Neutral
Disappointing,2,Negative
some of the best superhero content,9,Positive
No spoilers,10,Positive
Invincible is a must watch,9,Positive
Perfect Adaptation,9,Positive
God damn Awesome,10,Positive
"Brutal, Brilliant, and Emotionally Charged Superhero Epic",10,Positive
Invincible,10,Positive
Peakkkk,10,Positive
Season 2 WTF !!!,6,Neutral
"Watch Season 1, Skip Season 2",3,Negative
Really good show,9,Positive
An Exciting and Brutal Update to the Superhero Genre With So Many Memorable Characters,8,Positive
Really Invincible,10,Positive
Incredible!,10,Positive
Amazingly Good,9,Positive
Greatest fiction story,10,Positive
Peak fiction,10,Positive
First season review.,9,Positive
Off to a very interesting start.,7,Positive
"Loved it, now it's miserable",2,Negative
Just awesome. At first I was unsure... then the end of episode 1 slaps you.,10,Positive
A true gem!,9,Positive
"Awesome show, I love it so much",10,Positive
Awesome,10,Positive
KEEPS YOU GUESSING & on the EDGE of your seat,9,Positive
Better than the comic book universe it satires,10,Positive
"""Invincible"" (Season 3, 8.6/10)",8,Positive
awesome!,10,Positive
One of the best shows recently,7,Positive
"Overhyped, bad animation, weak story line",5,Neutral
Holy Crap,9,Positive
Superman's big brother,10,Positive
Be sure of what you're getting into.,9,Positive
"Yeah, it is INVINCIBLE",10,Positive
Here is the real superhero adaptation,10,Positive
"Well, that was surprising.",10,Positive
Incredible,10,Positive
Great!!!!,10,Positive
Hit or Miss,6,Neutral
Such a conundrum.,3,Negative
Awesome show,9,Positive
Very interesting lol,10,Positive
Its good go watch it,9,Positive
Recomendable 100%!,9,Positive
A Refreshing Reconstruction of the Superhero Genre,10,Positive
Best Amazon original,10,Positive
"Incredible, Invincible!",10,Positive
Great Story,10,Positive
Another Alternative Timeline Story,7,Positive
Typical teenage superhero drama,3,Negative
Surprisingly addicted,9,Positive
Wow haven't seen something like this in a minute,9,Positive
Excellent show,9,Positive
binge worthy,10,Positive
My days,10,Positive
Masterpiece,10,Positive
An Absolute Brilliant Watch,9,Positive
"Think, potential viewer, think!",10,Positive
"Blood splatter, gore and F-Bombs galore",6,Neutral
If it were not for the blood nobody would care!!!,3,Negative
Amazing show.,9,Positive
This show is absolutely amazing,10,Positive
This show is *Invincible title card pops up*,9,Positive
Next Level Shiz,10,Positive
Just. Watch it.,10,Positive
This will be one helluva ride,10,Positive
It's just so different,10,Positive
You won't find a better superhero show than this!,10,Positive
Not bad,6,Neutral
Really dropped off,5,Neutral
Nice,10,Positive
It's great,9,Positive
Amazing,10,Positive
1000th review of Title Card,10,Positive
Beautiful story telling and animation,10,Positive
"Invincible >> The boys, marvel, dcu post covid",10,Positive
Good so far,9,Positive
Refreshing Take on the Superhero Genre,10,Positive
meh,6,Neutral
Holy Woke Mole,4,Neutral
What Westren Animation needed,10,Positive
"Let me break it down for you, Mark",8,Positive
Great series,10,Positive
"Best superhero TV Series, period !",10,Positive
simple but one of the most enjoyable shows I've ever seen,9,Positive
Satisfies This Longtime Fan of the Comics,10,Positive
It's great!,10,Positive
So far so good,10,Positive
Grows on you,7,Positive
Had such potential,4,Neutral
Amazing,10,Positive
Like no American cartoon before it! :-),9,Positive
The Mix,10,Positive
Thoroughly enjoyed this! In the world of animation its great to see something which has an adult theme to it and is at times shocking,8,Positive
Really good,9,Positive
Surprisingly unexpected Awesome Series,10,Positive
Masterpiece,9,Positive
Fun for the whole family.,9,Positive
I dont get the hype. It's pretty mediocre,6,Neutral
Time to Ketchup,5,Neutral
11/10,10,Positive
This is the best thing to ever happen to the superhero genre!,10,Positive
This was refreshing,10,Positive
PEAK🔥,10,Positive
The animated series we needed,10,Positive
Awesome,10,Positive
Binge-worthy,9,Positive
The best Superhero show!,9,Positive
good show,7,Positive
I like gratuitous violence and gore but this story has no heart.,3,Negative
Very well made!,10,Positive
Started watching episode 1 at midnight...,10,Positive
"Wow, this is like anime!",10,Positive
An animated masterpiece!,9,Positive
PEAK,10,Positive
Is Amazing As It Says!,10,Positive
I don't even really watch anime...,10,Positive
Whoa,10,Positive
Really Enjoyed this!,7,Positive
Decent binge - some good but way too much WOKE.,5,Neutral
"Amazing show, couldn't be more perfect.",10,Positive
"Surprising Good,(..and Gory..),'Fun...'",9,Positive
A definite hit,8,Positive
Great opening and full of potential!,9,Positive
Original Superhero series and better than Avenger end game movie.,10,Positive
Best Adult Cartoon and Superhero Cartoon Ever,10,Positive
"The show was misleading the viewer into thinking it was a bright moral heroic story, then puches you right in the guts with the ending of the 1st episode",10,Positive
Interesting story,10,Positive
Unvincible,7,Positive
"Modern rehash of old ideas, with swearing... and gore.",4,Neutral
Loving the show!,10,Positive
"We need more ""entertainment"" like this!",10,Positive
S1E7's Cliffhanger 😭😳👏🏾,10,Positive
Fantastic show based on a fantastic comic book.,10,Positive
Absolutely Love It!,10,Positive
Great Show,9,Positive
Terrific!,10,Positive
WHAT A SHOW!!!,10,Positive
Shock value: the animated series,6,Neutral
Low quality series with just big names and gore,2,Negative
This show is good is one of the best abult cartoon ever made the story is so good the protagonist is good is better than boys,10,Positive
Better than The Boys!,10,Positive
sweet surprise -for a non-comic non-animated movie fan,10,Positive
Freaking Good Show,10,Positive
MIND BLOWING,9,Positive
Hooked!,10,Positive
Something Special,9,Positive
Only negative is the number of episodes so far!,10,Positive
Good but not great,7,Positive
It's definitely very modern and PC,5,Neutral
A Phenomenal First Season,10,Positive
Honestly peak,10,Positive
Best other than MCU and DC,10,Positive
The best tv series animation of all time,10,Positive
Loves the comic. Now I love the show,10,Positive
"Invincible-dark, hopeful, emotional, and exceptional",10,Positive
My favorite comic and now favorite show,10,Positive
I Started Out Liking This...,6,Neutral
"Really Liked the first season, the second started off with such a lazy pointless disconnect",5,Neutral
Don't let the Justice League style fool you.,10,Positive
"Suffers from a couple of lazy and ""progressive"" moments but excellent all round",10,Positive
Just started season 2 and I love this show.,10,Positive
I love the gore!,8,Positive
Peak,10,Positive
A Dark and Gory version of what DC universe could have been,10,Positive
Revolutionary writing,9,Positive
An experiment with scope for more,6,Neutral
Lost the plot,3,Negative
Holy smokes!!!!!,10,Positive
"10/10-A Must-Watch, No Matter What",10,Positive
Wow,10,Positive
Get ready for a dark journey,9,Positive
AAA show,10,Positive
Finally something really worth watching,10,Positive
I wanted to like it......,10,Positive
Beautiful,10,Positive
DON'T BELIEVE THEM,6,Neutral
For Fans,3,Negative
Teenage mutant ninja turtles 18+,9,Positive
Amazing show but...,8,Positive
Best Show I've seen....,10,Positive
Awesome Stuff! Binge worthy...,9,Positive
Superb,10,Positive
IM IN LOVE WE NEED MORE SERIES ASAP,10,Positive
This is the most incredible animation on super hero i ever watched !,9,Positive
Outstanding,9,Positive
Fkn refreshing,7,Positive
I was unable to complete the season,5,Neutral
J.K. Simmons rules.,9,Positive
Season 2,10,Positive
My opinion,8,Positive
BEST INVINCIBLE EPISODE TILL NOW,10,Positive
So Good!!!,10,Positive
"Great Plot, A Few Complaints",8,Positive
Best Animated Superhero Series,10,Positive
Best voice cast ever,10,Positive
I enjoyed it at first.,6,Neutral
Uncreative Parody of DC and Marvel; The Original Watchmen did it Better!!!,2,Negative
10/10 but WHO is mixing the audio????????,10,Positive
10/10 spectacular,10,Positive
Amazing,10,Positive
Hats off to the people behind this epic series!!!,10,Positive
"Although some episodes were boring, overall, this series was excellent.",9,Positive
Season 1 is a masterpiece. Season 2 lacked urgency.,9,Positive
Best show ever,10,Positive
Holy. Freaking. Crap.,10,Positive
Could have been much better,6,Neutral
Amber is ...,3,Negative
Really good and surprisingly adult.,8,Positive
Awsome,10,Positive
Invincible lets their Supermen go all out. To bloody and brilliant effect.,9,Positive
What are you waiting for,10,Positive
Outstanding,9,Positive
"Holy god , i have never have this joy since Generator Rex Got canceld",10,Positive
To de Honestly,8,Positive
Addicted,9,Positive
"Lean, dull and over overrated",6,Neutral
"Unoriginal, overrated, shallow",3,Negative
Binge-watched in 2 sittings,9,Positive
Best show of 2021,10,Positive
Invincible season 1 Review,10,Positive
Awesome,10,Positive
A must watch,10,Positive
Almost perfect DC style animation,8,Positive
Source Material Exists for this? Who Cares and Who Knew!,9,Positive
Just loved it,9,Positive
Amazing!,7,Positive
"Oh, where to begin",1,Negative
Wonder I waiting season 3,10,Positive
All my love.,10,Positive
I'm not even a fan of animation and I love it.,10,Positive
Yah! Nah! This is top notch entertaintment!,10,Positive
Outstanding,10,Positive
Justice League - for adults!,9,Positive
"Funny, dark, and a little bit of both; one of Prime's finest",8,Positive
"Nothing New, But Something Great",8,Positive
it was all going great until....,7,Positive
Could not give it much,3,Negative
An Incredible Invincible,8,Positive
A 96 percent,9,Positive
Can't believe they made it!,9,Positive
INCREDIBLE,10,Positive
Fantastic show. I loved every second of it.,9,Positive
"""Son, We need to Talk...""",8,Positive
Wow Just amazing,10,Positive
This show is freakn awesome!!!,10,Positive
Watch 1 episode and see if you can stop,7,Positive
Where's the plot?,5,Neutral
Favourite new show,10,Positive
INVINCIBLE: Gives 90's Era Superhero Vibes,10,Positive
"First season is a 9, second a 7",9,Positive
Incredible,10,Positive
Finally a good super hero movie,9,Positive
Best SuperHero movie animation for a while!,10,Positive
The best animated show out right now.,10,Positive
good entertainment,7,Positive
Honestly don't see the hype...,1,Negative
Awesome!,10,Positive
It was dope,10,Positive
Must watch,10,Positive
What will you have after 500 years?,10,Positive
A solid but definitely not a top notch animated series,8,Positive
"Not Invincible, But Pretty Close",9,Positive
Nice :),8,Positive
Good and different,8,Positive
Concentrate On The Comic Book's Strengths Going Foward,7,Positive
NOT YOUR MARVEL FLICK,9,Positive
Masterpiece anime for adults,10,Positive
Like the boys meets justice league,8,Positive
Best animated show out there rn,9,Positive
Outstanding,10,Positive
Not for casual viewers!,10,Positive
Bravo!,10,Positive
One of the best shows of 2021,9,Positive
It's a nice show,7,Positive
This would have been groundbreaking ten years ago,3,Negative
This is great,10,Positive
This anime makes the boys look like sesame street,10,Positive
Comics are better but show is top notch,10,Positive
A show in decline,8,Positive
If its called Invincible,10,Positive
9/10 amazing. Emotive. Powerful. Stunning voice acting.,9,Positive
It has thrill in every episode!!!,8,Positive
I as well don't even watch Animation,10,Positive
Not a bandwagon review,6,Neutral
Everything about this show is amazing!,10,Positive
"""Entertaining And Engaging""",10,Positive
Wow thats some show,9,Positive
Invincible!,10,Positive
Nailed it!,10,Positive
Good story... Not so good animation.,8,Positive
Comic-book Animation at it's very best.,9,Positive
10 for a couple of reasons,10,Positive
The show where everyone inexplicably regrows broken and missing teeth.,6,Neutral
Cringefest,1,Negative
This is just what I needed and Omni man needs to chill,10,Positive
500 years to animate this tho 😭,8,Positive
Engaging and different Animated Series from Amazon,9,Positive
Father I crave violence,10,Positive
S1,8,Positive
Just Wow..,9,Positive
Mixed Opinions...,8,Positive
Epic !! But..,9,Positive
overrated,7,Positive
Just boring,1,Negative
Incredible cartoon series,10,Positive
Wow,10,Positive
"Love it, would recommend it... however.....",8,Positive
Game of Thrones vibes,10,Positive
INVINCIBLE IS PEAK,10,Positive
Great start season 1,8,Positive
Superb,10,Positive
Good,8,Positive
Overall Good,6,Neutral
"Hook You In with 2 Episodes, Then Gets Ultra Woke?",2,Negative
One of the best animations I've ever seen,10,Positive
Superman meets Justice League on CRACK,10,Positive
Very good,10,Positive
"Fantastic show, highly recommended",9,Positive
Promising,8,Positive
Pretty close to perfect if you ask me,10,Positive
Very Cool and Suspenseful,9,Positive
Awesome series,9,Positive
Great ideas but too much cliché,7,Positive
A tiresome superhero series,5,Neutral
Its f-n dope! 11/10,10,Positive
It s very good,10,Positive
The best Amazon original there is!,10,Positive
Pretty good,8,Positive
Surprisingly good,9,Positive
One of the best TV shows I've ever watched,10,Positive
Simply AMAZING!,10,Positive
You need to watch invincible,10,Positive
Teenage Drama Overkill,6,Neutral
Incredibly Disappointed,1,Negative
Literally and Figuratively Groundbreaking,10,Positive
This show is amazing,10,Positive
Insane!,10,Positive
Remarkable!,10,Positive
Blew my Mind,10,Positive
Definitely something special,9,Positive
"Not Enough Focus. Minor spoilers, Absolutely Worth Watching",8,Positive
Solid,10,Positive
Okay but the comic is far superior to this,6,Neutral
Series 3 went downhill with silly moralising,4,Neutral
8.0 flat,8,Positive
"Well-made superhero content, for once",8,Positive
Sensational.,10,Positive
Animation With The Boys Vibe,10,Positive
What a magnificent experience,9,Positive
HELL YEAH!!!,10,Positive
Absolute masterpiece,10,Positive
Invincible,8,Positive
ye but imagine,7,Positive
Disappointing,1,Negative
I'm a Superfan,10,Positive
Great,8,Positive
Not a classic superhero story,8,Positive
Very good!,9,Positive
Outstanding Tv show/ Cartoon,10,Positive
"Strong beginning, strong ending, lots of promise",8,Positive
Inventive !,8,Positive
Good show,8,Positive
little optimistic isn't it?,7,Positive
Peaks in Season 1,1,Negative
A fun watch!,8,Positive
If I could rate it higher I would.,10,Positive
real wall to wall,10,Positive
"I've never read the comic, but it's a must watch",10,Positive
Kick-ass AF,8,Positive
Loved it,9,Positive
Beyond word 👏,10,Positive
I had to give it a 10 to counter the snowflakes,10,Positive
Patience pays off,7,Positive
Pointless show,3,Negative
Everything u need,10,Positive
Great show but ended poorly.,9,Positive
Its just perfect show for father and son,10,Positive
"Go Woke, go Broke? I DON'T THINK SO!!!",10,Positive
Generic,10,Positive
By the beard of Zeus...,9,Positive
Great,10,Positive
Great Adaptation of the Comic,9,Positive
Animated version of the boys,7,Positive
Below average,3,Negative
Headache,9,Positive
Awesome,9,Positive
Surprisingly Super!,10,Positive
Prime's doing a good job,10,Positive
Best Animated Series I've ever watched,10,Positive
You wouldn't breathe!,9,Positive
This some good stuff,10,Positive
Perfect timing to offset other letdowns.,10,Positive
Mediocre but entertaining,7,Positive
Define Peak,10,Positive
invincible is peak,10,Positive
Animated version of the boys,10,Positive
"1st The thumbnail put me off, then paid off when I finally binged!",10,Positive
I needed this 25yrs ago when I was a kid...,9,Positive
Must watch it,10,Positive
Take the graphic content warning seriously,9,Positive
This is something else!,8,Positive
Show is great except for one thing...,7,Positive
A Wagyu beef that aged like last years milk,1,Negative
What a show,10,Positive
"In a era after super movies, it will still bring you in.",10,Positive
Amazing,10,Positive
I'd give this an 11/10 if I Could!,10,Positive
Must watch,10,Positive
Watchmen for zoomers,10,Positive
One of best realistic super hero story,10,Positive
The best series I have ever watched,10,Positive
What if Superman goes berserk?,7,Positive
"Too Little, Too Late",5,Neutral
Absolute peak,10,Positive
Prime Video has another blockbuster hit!,10,Positive
Awesome man,10,Positive
Mindblowing,10,Positive
Amazing show,10,Positive
Awesome storyline and characters,10,Positive
For me I think is the top of animated series,10,Positive
Awesome,9,Positive
"Decent, but not the masterpiece that is claimed.",7,Positive
Pls don't hate,1,Negative
One of the best shows ever !!,10,Positive
Way Better Than I Expected,9,Positive
Amazon prime nailed it!,10,Positive
So good,8,Positive
Just ICREDIBLE,10,Positive
I'm not usually a big fan of animated series,10,Positive
Amazing!!,10,Positive
This is freaking good,10,Positive
Bloody good,7,Positive
Unbelievably high rating,4,Neutral
The best,10,Positive
Invisible on Prime Video: A Captivating and Underrated Gem,10,Positive
The biggest problem of the series is its lack of management.,9,Positive
Best Superhero media since Endgame,10,Positive
BIGGEST RIP OFF BY FAR,8,Positive
Great storyline with not so original characters,9,Positive
One of the best series of the all time,10,Positive
MUST WATCH!!!!,9,Positive
Think seriously if you need this experience or not,6,Neutral
Just terrible.,1,Negative
Captured from start to end,10,Positive
Excellently written and really dark and interesting,10,Positive
Incredible Tv show that gets you hooked on every episode enough to want to read the comic!,9,Positive
Awesome,10,Positive
"Invincible is a spine-chilling animated series following the superhero theme, that we desperately needed.",9,Positive
"Great Animation, Story and Characters. Can't Fault It",10,Positive
Very faithful to the comics,10,Positive
PEAK!!,9,Positive
Issues,6,Neutral
Meh,5,Neutral
Oooff!,10,Positive
Epic !!!!,10,Positive
"This is it, the pinnacle of what a superhero genre can be.",10,Positive
COOL SERIES HERE!,9,Positive
Wonderful surprise,10,Positive
"Never read the comics, but a Kirkman fan.",10,Positive
Fabulous!!,9,Positive
Gripping,10,Positive
Overhyped,6,Neutral
So-so...,3,Negative
"Relentless, bloodthirsty and absolutely awesome",9,Positive
"Both season 1 and 2 are amazing, but...",9,Positive
Amazing Adaptation,10,Positive
Amazing,9,Positive
Invincible more like incredible,10,Positive
Great show!,10,Positive
Invincible: the greatest show ever,10,Positive
Nice Story and Painful show,8,Positive
One Question One Season,6,Neutral
Really stupid animated show.,1,Negative
"Good, the comic is better.",8,Positive
One of the best superhero series ever ....,10,Positive
I loved it,9,Positive
Awesome adaptation of the comics.,10,Positive
That's what I'm talking about,10,Positive
Refreshing,9,Positive
Another amazing Sci-Fi series to watch out for,8,Positive
Pretty cool refreshingly superheroes Show,9,Positive
Bootleg action figures,6,Neutral
"Nice concept, overlooked by gore.",2,Negative
Invincible Review,10,Positive
MUST WATCH,10,Positive
Bloody amazing!,10,Positive
I thought the storyline wasn't catchy at first but i was wrong,8,Positive
What a cast!,10,Positive
Amazing Bloody Serie,10,Positive
nothing but love,10,Positive
Would be an 8 if not for Amber.,6,Neutral
"It's a fine example of what it is, but what it is is common.",4,Neutral
Awesome,10,Positive
Anime is beyond expectations,8,Positive
Brutally Awesome!,9,Positive
Awesome,9,Positive
EPISODE 1 IS NOT CHILD SAFE,8,Positive
"Exactly what I was looking for, for a long time",9,Positive
If I Could Give More Stars I Would,10,Positive
Best Animated Show After ATLA,10,Positive
"Not terrible, not amazing.",7,Positive
Copy and Paste,1,Negative
Amber Sucks,10,Positive
It is great,10,Positive
"Emotional, gory, and fun show",9,Positive
A MUST watch for ANY comic book fan!,9,Positive
Every Generator Rex fans should just go and watch it right now !!!!!!,10,Positive
Overly manly man meets Superman,9,Positive
Its Good and I'm sure it will get even bettet with more seasons,6,Neutral
"Similar to the boys, but worse",4,Neutral
Love dc,10,Positive
A must watch,10,Positive
Fresh approach,8,Positive
Outstanding,10,Positive
Just...wow,10,Positive
So so good,10,Positive
Invincible Review,8,Positive
Greatest superhero show imo,10,Positive
It's alright.,7,Positive
If you like blood and guts then this is your show.,2,Negative
This series set the bar pretty high....,9,Positive
We Choose Violence!,8,Positive
Clash of titans,10,Positive
Awesome!,10,Positive
Review by Season (3/3),8,Positive
Wow,10,Positive
Animation,9,Positive
Great!,9,Positive
These reviews are overrating the show.,7,Positive
A copy and distortion on the characters from other entertainment products,4,Neutral
It's the Reality based One.,10,Positive
Peak Cinema,10,Positive
If he's invincible why can I see him?,10,Positive
"Simple story, but wonderful",10,Positive
Great,10,Positive
My Opinion 2025,10,Positive
This is a masterpiece.,10,Positive
An absolute must-watch!,8,Positive
Good show but definitely some bad things.,7,Positive
"Top notch cast, lousy animation",5,Neutral
Haven't read the comics but I just might do after watching this,9,Positive
9/10,9,Positive
Powerful!,10,Positive
A Great animated series!!,10,Positive
Best Superhero Show of 2021 so far,9,Positive
A really good show,9,Positive
A thousand times yes!,10,Positive
Best hero show ever!,10,Positive
Love everything about this except the actual show,6,Neutral
Boring rubbish,1,Negative
AN EPIC ADAPTATION,10,Positive
Poignant & Violent,9,Positive
Invincible is awesome,10,Positive
Marvelous 👏👏,10,Positive
Peak.,10,Positive
Simply superb for action lovers ..💥🔥,10,Positive
Very interesting show that makes you think,9,Positive
Surprisingly good,10,Positive
Started off well but then let us down,7,Positive
will watch later?,5,Neutral
This show is genuinely so peak,9,Positive
Pretty Dang Good,9,Positive
Greatness,10,Positive
Animation basked in bloodbath glory!!,9,Positive
It's been a while since we got a good superhero cartoon,10,Positive
The Twist made me Finish the Show in One Day,9,Positive
Brilliant,9,Positive
A Strong and gritty Comic Book story brought to life!,9,Positive
"Interesting, but the female symbol with a massive X through it really bugs me.",6,Neutral
Really enjoyed it!,9,Positive
One of the best animated TV Shows,10,Positive
Whoa!!,10,Positive
best comic ever,9,Positive
"WOW, brutal, and great story",10,Positive
So good!!!,10,Positive
Amazing Story!,8,Positive
Like The Boys,9,Positive
Gave it a 7,7,Positive
Exhausting,5,Neutral
I dont even watch animation/anime,10,Positive
FINALLY!,9,Positive
TEARS ARE STREAMING FROM THE JOY OF SEEING THE GREATEST PIECE OF TELEVISION EVER CREATED,10,Positive
Didn't Know This Kind of Gore Could Get Old,9,Positive
Totally mind-blowing,9,Positive
One word... Brilliant!,10,Positive
Didn't expect it to be this good!!,9,Positive
Adult Animation at its best,9,Positive
Hinging on an undercooked premise and an dramatically ambiguous superhero,7,Positive
This show is great,10,Positive
Will make you realize what you've been missing,10,Positive
One of the happiest moments of my life,10,Positive
The best,10,Positive
Fine but puzzling,9,Positive
Invincible.,10,Positive
Binged it!!,10,Positive
Holy #%+#,10,Positive
expect a LOT of upsetting gore,6,Neutral
for adults?,3,Negative
I don't understand any of the bad reviews,10,Positive
"More, please",9,Positive
Like The Boys,9,Positive
What a great surprise... cannot wait for more seasons,9,Positive
Season 3 absolutely blew me away,9,Positive
Great show,10,Positive
nice,10,Positive
Wow- reminds us of the Boys!,10,Positive
Great ending but the story wasnt that good.,7,Positive
"The bloodier, the better?",1,Negative
Very entertaining,8,Positive
Brilliant show,10,Positive
Word of Mouth is Important,9,Positive
PERFECT!!!,8,Positive
It's not Great it's GOATED,10,Positive
Fun 2 watch,10,Positive
Better than I ever could have imagined,9,Positive
Invincible is special.,8,Positive
7.4/10 - Could Be the Start of Something Great,7,Positive
Slow and cliche,3,Negative
AMAZING AND ECSTATIC,10,Positive
One of the most creative animated shows in awhile.,9,Positive
best superhero tv show evef,10,Positive
DOPE,10,Positive
Comic to big screen done right,10,Positive
10/10,10,Positive
"My June watching experience was saved, thanks to Invincible",10,Positive
Insane Ride,9,Positive
Its good..,7,Positive
Nihilistic. Atheistic. Downright evil hypnotic programming.,4,Neutral
The dark side of superheroes!,9,Positive
Incredible,9,Positive
What an incredible show!,10,Positive
Like The Boys,9,Positive
Invincible,10,Positive
"Great, but not perfect",9,Positive
Best animated series I've ever seen!,10,Positive
"Many technical errors, but a fantastic base.",8,Positive
It's an interesting take on superman,7,Positive
It's inevitable. this series is so cool,9,Positive
Main character takes his licks like a man.,10,Positive
Invincible could be the cure for your superhero fatigue,9,Positive
One of the Greatest Animated TV shows of all time,10,Positive
More Gore than Mortal Kombat and thays a good thing,9,Positive
Is the show really Invincible?,9,Positive
"The real truth behind Marks father, Is he the Villain or the hero?",10,Positive
Amazing,9,Positive
Full premium review,6,Neutral
Refuse to put myself through more than the first episode,2,Negative
Best superhero content of 2021... so far... (8.9/10),9,Positive
Best show ever,10,Positive
Great series with a novel idea,9,Positive
Epitome of a comic book come to life.,8,Positive
